time,par,"(0.0124,0.0129]","(0.0129,0.0133]","(0.0133,0.0138]","(0.0138,0.0143]","(0.0143,0.0148]","(0.0148,0.0153]","(0.0153,0.0158]","(0.0158,0.0164]","(0.0164,0.017]","(0.017,0.0176]","(0.0176,0.0182]","(0.0182,0.0188]","(0.0188,0.0195]","(0.0195,0.0202]","(0.0202,0.0209]","(0.0209,0.0216]","(0.0216,0.0224]","(0.0224,0.0232]","(0.0232,0.024]","(0.024,0.0248]","(0.0248,0.0257]","(0.0257,0.0266]","(0.0266,0.0276]","(0.0276,0.0285]","(0.0285,0.0295]","(0.0295,0.0306]","(0.0306,0.0317]","(0.0317,0.0328]","(0.0328,0.0339]","(0.0339,0.0351]","(0.0351,0.0364]","(0.0364,0.0377]","(0.0377,0.039]","(0.039,0.0404]","(0.0404,0.0418]","(0.0418,0.0433]","(0.0433,0.0448]","(0.0448,0.0464]","(0.0464,0.048]","(0.048,0.0497]","(0.0497,0.0514]","(0.0514,0.0533]","(0.0533,0.0551]","(0.0551,0.0571]","(0.0571,0.0591]","(0.0591,0.0612]","(0.0612,0.0633]","(0.0633,0.0656]","(0.0656,0.0679]","(0.0679,0.0703]","(0.0703,0.0728]","(0.0728,0.0753]","(0.0753,0.078]","(0.078,0.0807]","(0.0807,0.0836]","(0.0836,0.0865]","(0.0865,0.0896]","(0.0896,0.0927]","(0.0927,0.096]","(0.096,0.0994]","(0.0994,0.103]","(0.103,0.106]","(0.106,0.11]","(0.11,0.114]","(0.114,0.118]"
2015-07-27T00:30:04Z,1958.35,0,0,0,152.826,448.927,1165.301,1862.571,2502.531,2588.496,2875.046,3008.769,3400.386,3839.762,4508.377,4546.584,4689.858,5778.746,5434.887,5539.955,5157.889,5453.99,4852.236,5520.852,4537.032,4422.412,5119.683,4451.067,4040.347,3868.417,4508.377,4279.138,3983.037,3715.591,3199.802,2951.459,3037.424,2712.668,2091.811,1833.916,1547.367,1088.888,888.303,563.547,525.341,429.824,315.204,296.101,219.688,171.93,114.62,66.862,38.207,66.862,0,9.552,28.655,38.207,19.103,38.207,0,0,0,0,0,0
2015-07-27T00:33:04Z,948.17,0,0,0,171.197,627.722,1283.977,1873.655,2301.647,2377.735,2824.749,2900.836,3262.252,3728.288,4080.192,4451.119,4241.878,5269.06,5430.746,5430.746,5563.899,5364.169,4945.688,5849.227,4508.185,4917.155,4945.688,4764.98,4384.543,3585.624,4298.944,3918.507,3928.017,3899.485,3509.536,3224.208,2701.106,2815.238,2472.844,1911.699,1692.947,1407.619,894.028,608.7,637.233,323.372,437.503,285.328,209.241,256.795,76.088,104.62,38.044,66.577,38.044,47.555,19.022,19.022,9.511,9.511,0,0,0,0,0,0
2015-07-27T00:36:04Z,1890.86,0,0,0,133.07,522.775,1131.094,1691.889,2252.684,2319.219,2433.279,2937.043,3127.143,4125.168,4182.198,4248.733,4857.052,5417.847,5674.482,5341.807,4733.488,5541.412,4628.933,5398.837,5094.677,4771.508,5018.637,4486.358,4762.003,3725.958,4191.703,4163.188,4096.653,3583.383,3535.858,3488.333,3431.303,2908.528,2765.954,2129.119,1958.029,1444.759,902.975,798.42,684.36,408.715,418.22,351.685,218.615,161.585,133.07,161.585,95.05,95.05,28.515,57.03,38.02,19.01,9.505,28.515,0,0,0,0,0,0
2015-07-27T00:39:04Z,1070.69,0,0,0,151.549,426.231,1004.011,1648.094,2169.043,2576.331,2680.521,2993.09,2756.295,3476.152,4129.707,4698.015,4773.79,5095.831,5294.739,5342.098,5171.605,5872.519,4413.861,5607.308,4309.671,4707.487,5379.985,4792.733,4451.748,3902.384,4158.122,4214.953,3930.799,3694.004,3940.271,3040.449,3826.609,3116.224,2813.126,2358.479,1894.361,1704.925,1165.032,795.632,558.836,653.555,322.041,369.4,208.38,179.964,151.549,142.077,75.774,37.887,18.944,28.415,9.472,37.887,18.944,9.472,0,0,0,0,0,0
2015-07-27T00:42:05Z,2047.48,0,0,0,104.24,521.198,1241.398,1573.069,2388.033,1838.406,2482.796,2492.272,3193.52,3875.815,3856.863,4434.918,4520.205,5306.74,5401.503,5401.503,5278.311,5524.695,5088.784,5553.124,4453.871,4690.779,4870.829,4577.063,4311.726,3828.434,4055.865,4027.436,4292.773,3989.531,3818.957,3383.047,3563.097,3221.949,2852.373,2492.272,2113.22,1667.833,1184.54,938.156,758.106,672.819,341.148,303.242,265.337,161.097,123.192,85.287,47.382,37.905,28.429,18.953,9.476,47.382,18.953,9.476,0,0,0,0,0,0
2015-07-27T00:45:05Z,2048.77,0,0,0,95.092,437.424,1188.653,1588.04,2063.501,2443.87,2358.287,2795.711,2786.202,3546.939,3870.253,4478.843,4060.437,5192.034,5543.875,5077.924,4859.212,5420.256,5106.451,5810.134,4393.26,5153.997,5192.034,4288.658,4459.824,4488.352,4583.444,4440.806,3737.124,4031.909,4250.621,3309.209,3565.958,3242.644,2824.238,2529.453,1949.39,1645.095,1388.346,1103.07,865.339,627.609,332.823,304.295,190.184,256.749,142.638,85.583,95.092,76.074,76.074,57.055,38.037,9.509,9.509,9.509,0,0,0,0,0,0
2015-07-27T00:48:05Z,2044.43,0,0,0,94.111,404.678,1138.745,1741.057,2042.213,2315.135,2870.391,3086.847,2917.447,3839.736,3689.158,4338.525,4583.215,5166.704,5514.915,5712.549,4743.204,5298.46,4912.604,5383.16,4291.47,4451.459,5477.271,4771.437,4489.103,4357.348,4216.181,4554.981,4187.948,3999.725,3811.503,3557.403,3585.636,3303.302,3228.014,2541.002,2352.78,1835.168,1204.623,1035.223,856.412,555.256,508.2,310.567,254.1,178.811,235.278,169.4,84.7,47.056,47.056,9.411,28.233,18.822,18.822,18.822,0,0,0,0,0,0
2015-07-27T00:51:05Z,2092.82,0,0,0,143.786,517.629,1083.187,1524.13,2185.545,2252.645,2568.974,2846.96,2473.117,3757.604,3585.061,4054.761,4466.948,5492.62,5262.563,4955.82,4936.648,5339.249,5166.706,5483.034,4534.048,4677.834,5377.591,4831.205,4303.99,4419.019,4284.819,4514.876,3776.775,3652.161,3882.218,3613.818,3364.589,3192.046,3000.332,2626.489,2204.717,1744.602,1476.202,1025.673,718.929,661.415,555.972,316.329,335.5,258.815,134.2,67.1,105.443,115.029,47.929,67.1,28.757,28.757,0,28.757,0,0,0,0,0,0
2015-07-27T00:54:06Z,2287.17,0,0,0,114.219,418.803,1246.89,1618.102,2027.386,2312.933,2503.298,2769.809,2607.999,3493.196,3769.225,4007.181,4321.283,5187.443,5453.954,5273.107,5225.516,5806.129,5044.669,5358.771,4597.312,4721.049,5044.669,4378.392,4702.013,4149.954,4321.283,4454.538,4207.064,3911.998,3826.334,3417.05,3474.159,3398.013,3026.802,2655.59,2379.561,1779.912,1541.956,913.751,656.759,590.131,399.766,304.584,199.883,123.737,199.883,85.664,66.628,38.073,57.109,66.628,9.518,19.036,9.518,9.518,0,0,0,0,0,0
2015-07-27T00:57:06Z,1220.2,0,0,0,95.484,362.838,1241.288,1565.933,2377.544,2205.673,2501.673,2539.866,2778.576,3551.994,4077.154,4105.799,4010.315,5499.861,5070.184,5117.926,4650.056,5242.055,4621.411,5767.216,4258.573,4726.443,5423.474,4669.153,4334.96,4172.638,4602.314,4153.541,3895.735,3867.09,4038.961,3513.8,3714.316,3131.865,3093.672,2616.253,2310.706,1900.126,1632.771,1183.998,744.773,591.999,534.709,305.548,295.999,124.129,114.58,95.484,66.839,105.032,47.742,28.645,85.935,9.548,9.548,19.097,0,0,0,0,0,0
