time,par
2014-12-09 14:27:01,-0.24
2014-12-09 14:30:01,-0.596
2014-12-09 14:33:01,-0.24
2014-12-09 14:36:01,-0.24
2014-12-09 14:39:01,-0.24
2014-12-09 14:42:02,-0.24
2014-12-09 14:45:02,-0.24
2014-12-09 14:48:02,-0.24
2014-12-09 14:51:02,-0.24
2014-12-09 14:54:03,-0.24
2014-12-09 14:57:03,-0.24
2014-12-09 15:00:03,-0.24
2014-12-09 15:03:03,-0.24
2014-12-09 15:06:03,-5.028
2014-12-09 15:09:04,-0.647
2014-12-09 15:12:04,-0.24
2014-12-09 15:15:04,-0.24
2014-12-09 15:18:04,-0.24
2014-12-09 15:21:04,-0.24
2014-12-09 15:24:05,-0.24
2014-12-09 15:27:05,-0.24
2014-12-09 15:30:05,-0.24
2014-12-09 15:33:05,-0.24
2014-12-09 15:36:05,-0.24
2014-12-09 15:39:06,-0.24
2014-12-09 15:42:06,-0.24
2014-12-09 15:45:10,-0.24
2014-12-09 15:48:10,-0.24
2014-12-09 15:51:11,-0.24
2014-12-09 15:54:11,-0.24
2014-12-09 15:57:11,-0.24
2014-12-09 16:00:11,-0.24
2014-12-09 16:03:12,-0.24
2014-12-09 16:06:12,-0.24
2014-12-09 16:09:12,-0.24
2014-12-09 16:12:12,-0.24
2014-12-09 16:15:12,-0.24
2014-12-09 16:18:13,-0.24
2014-12-09 16:21:13,-0.24
2014-12-09 16:24:13,-0.24
2014-12-09 16:27:13,-0.24
2014-12-09 16:30:13,-0.24
2014-12-09 16:33:14,-0.214
2014-12-09 16:36:14,-0.189
2014-12-09 16:39:14,-0.138
2014-12-09 16:42:14,-0.036
2014-12-09 16:45:14,0.142
2014-12-09 16:48:15,-0.495
2014-12-09 16:51:15,0.779
2014-12-09 16:54:15,1.492
2014-12-09 16:57:15,-5.079
2014-12-09 17:00:15,3.199
2014-12-09 17:03:16,4.014
2014-12-09 17:06:16,5.083
2014-12-09 17:09:16,6.357
2014-12-09 17:12:16,8.14
2014-12-09 17:15:16,22.938
2014-12-09 17:18:17,34.68
2014-12-09 17:21:17,24.365
2014-12-09 17:24:17,55.236
2014-12-09 17:27:17,63.462
2014-12-09 17:30:17,70.543
2014-12-09 17:33:18,76.656
2014-12-09 17:36:18,82.795
2014-12-09 17:39:18,84.781
2014-12-09 17:42:18,94.995
2014-12-09 17:45:18,99.528
2014-12-09 17:48:19,106.022
2014-12-09 17:51:19,111.549
2014-12-09 17:54:19,112.491
2014-12-09 17:57:19,118.401
2014-12-09 18:00:19,122.118
2014-12-09 18:03:20,127.568
2014-12-09 18:06:20,129.426
2014-12-09 18:09:20,132.355
2014-12-09 18:12:20,137.039
2014-12-09 18:15:20,139.432
2014-12-09 18:18:21,143.277
2014-12-09 18:21:21,146.791
2014-12-09 18:24:21,146.966
2014-12-09 18:27:21,150.122
2014-12-09 18:30:21,151.778
2014-12-09 18:33:22,152.236
2014-12-09 18:36:22,157.914
2014-12-09 18:39:22,158.474
2014-12-09 18:42:22,161.173
2014-12-09 18:45:22,162.293
2014-12-09 18:48:23,162.751
2014-12-09 18:51:23,165.731
2014-12-09 18:54:23,164.991
2014-12-09 18:57:23,167.233
2014-12-09 19:00:24,170.111
2014-12-09 19:03:24,172.377
2014-12-09 19:06:24,172.556
2014-12-09 19:09:24,174.44
2014-12-09 19:12:24,175.738
2014-12-09 19:15:25,176.349
2014-12-09 19:18:25,179.38
2014-12-09 19:21:25,178.029
2014-12-09 19:24:25,180.5
2014-12-09 19:27:25,181.774
2014-12-09 19:30:26,182.053
2014-12-09 19:33:26,182.179
2014-12-09 19:36:26,183.504
2014-12-09 19:39:26,183.198
2014-12-09 19:42:27,183.02
2014-12-09 19:46:20,185.057
2014-12-09 19:49:20,184.853
2014-12-09 19:52:21,185.923
2014-12-09 19:55:21,187.527
2014-12-09 19:58:21,188.036
2014-12-09 20:01:21,188.953
2014-12-09 20:04:21,190.073
2014-12-09 20:07:22,189.081
2014-12-09 20:10:22,191.423
2014-12-09 20:13:22,192.085
2014-12-09 20:16:22,192.034
2014-12-09 20:19:22,192.212
2014-12-09 20:22:23,192.67
2014-12-09 20:25:23,193.765
2014-12-09 20:28:23,193.205
2014-12-09 20:31:23,194.377
2014-12-09 20:34:23,194.402
2014-12-09 20:37:24,195.472
2014-12-09 20:40:24,195.701
2014-12-09 20:43:24,195.675
2014-12-09 20:46:24,197.05
2014-12-09 20:49:24,196.489
2014-12-09 20:52:25,196.158
2014-12-09 20:55:25,197.483
2014-12-09 20:58:25,196.083
2014-12-09 21:01:25,193.281
2014-12-09 21:04:26,195.012
2014-12-09 21:07:26,193.714
2014-12-09 21:10:26,194.324
2014-12-09 21:13:26,195.191
2014-12-09 21:16:26,195.114
2014-12-09 21:19:27,195.267
2014-12-09 21:22:27,195.623
2014-12-09 21:25:27,195.698
2014-12-09 21:28:27,197.278
2014-12-09 21:31:27,197.023
2014-12-09 21:34:28,196.921
2014-12-09 21:37:28,55.812
2014-12-09 21:40:28,197.508
2014-12-09 21:43:28,198.5
2014-12-09 21:46:28,199.57
2014-12-09 21:49:29,198.908
2014-12-09 21:52:29,199.111
2014-12-09 21:55:29,195.699
2014-12-09 21:58:29,197.814
2014-12-09 22:01:30,198.476
2014-12-09 22:04:30,198.654
2014-12-09 22:07:30,199.47
2014-12-09 22:10:30,199.114
2014-12-09 22:13:30,198.604
2014-12-09 22:16:31,198.299
2014-12-09 22:19:31,198.63
2014-12-09 22:22:31,198.019
2014-12-09 22:25:31,198.783
2014-12-09 22:28:31,198.146
2014-12-09 22:31:32,198.172
2014-12-09 22:34:32,198.198
2014-12-09 22:37:32,199.013
2014-12-09 22:40:32,199.267
2014-12-09 22:43:32,198.248
2014-12-09 22:46:33,199.369
2014-12-09 22:49:33,199.674
2014-12-09 22:52:33,198.094
